"","id_num","Sex","Meat_g","Meat_inhouse_g","Meat_outhouse_g","Season_Wkdays_calib_weights_2rec"
"342",166667338,1,232.4910645485,105,127.4910645485,3004.148022
"343",166988756,2,51.3609848,0,51.3609848,1168.899634
"344",167818307,1,158.6874962,68.6874962,90,1581.066891
"345",168850856,2,38.886306765,11.5,27.386306765,3713.586696
"346",169097277,1,136.37741661,115.526432035,20.850984575,1226.141239
"347",169124411,2,32.25,18.75,13.5,2151.345317
"348",170048674,2,60,0,60,1408.634238
"349",170755510,2,89.5,89.5,0,726.1603902
"350",171280317,2,0,0,0,3490.954063
"351",171585389,2,19.823883055,0,19.823883055,3164.26522
"352",171962498,2,8.40117836,0,8.40117836,1921.458007
"353",172335648,1,98.75,20,78.75,1412.944493
"354",173039115,1,113,113,0,1405.911385
"355",173378951,1,61,5.75,55.25,1101.422869
"356",173984862,1,83,20,63,2984.251827
"357",174138405,2,150.13185787,150.13185787,0,1354.6545
"358",174822611,2,60.375,60.375,0,1291.248685
"359",175013755,1,219.20882418,0,219.20882418,18769.58539
"360",175242926,2,0,0,0,3347.213309
"361",175777946,1,132.5,121.5,11,1241.096159
"362",176191313,1,136.4234848,105,31.4234848,1371.258879
"363",176584686,2,188,188,0,2194.09525
"364",177971434,1,121.75,121.75,0,2468.498744
"365",178161146,1,77.5,32.5,45,933.7288738
"366",178496210,2,117.549999714,117.549999714,0,1339.853649
"367",178497335,2,111.69180107,0,111.69180107,1035.97458
"368",178528863,2,149.8267326355,145,4.8267326355,1565.704948
"369",178794285,2,89.802901268,87.5,2.302901268,2107.577589
"370",180295986,1,107.816143035,26.066143035,81.75,1863.456762
"371",180401735,1,52.554653645,52.554653645,0,3536.849325
"372",180791819,1,90,90,0,1132.040523
"373",181448789,1,294.83333349,218,76.83333349,3062.798416
"374",182388180,1,119.1772995,0,119.1772995,1600.137454
"375",183425025,1,297.0743575115,201.875,95.1993575115,1828.734345
"376",184038505,1,28.5,28.5,0,798.0613992
"377",184195004,2,0,0,0,4437.286154
"378",184239559,1,142.5719986,142.5719986,0,5830.655035
"379",184551995,1,0,0,0,1216.304944
"380",184654698,2,93,70.5,22.5,1643.879634
"381",184697680,1,88.5,88.5,0,1492.95718
"382",184778833,2,19,9.5,9.5,996.0119007
"383",184988675,2,126.73066807,19.73066807,107,1652.032193
"384",185094145,2,147.382546067,147.382546067,0,1055.570168
"385",185103679,1,195,95,100,2401.734666
"386",185106584,1,222,222,0,985.2340661
"387",185354645,1,0,0,0,1354.367234
"388",185869150,2,44.22885895,44.22885895,0,1394.404425
"389",186239746,2,0,0,0,1250.433644
"390",186303957,1,221.0651054,71.0251045,150.0400009,3402.916193
"391",186696803,1,122.5,31.5,91,1216.304944
"392",187534524,2,0,0,0,751.4147385
"393",187926774,2,0,0,0,1095.186479
"394",188616099,2,147,0,147,2851.736144
"395",190120301,1,144,144,0,1665.200218
"396",190573932,1,97.5,52.5,45,1640.88221
"397",191402915,1,53,53,0,1482.326091
"398",191625532,1,100.79010248,0,100.79010248,2419.956895
"399",191660702,2,0,0,0,591.0885912
"400",191772158,1,35.5243337155,35.5243337155,0,1763.292198
"401",192460567,2,119,119,0,1318.956768
"402",193129562,1,478,0,478,4534.906706
"403",193191146,1,294,124,170,5023.824422
"404",193334418,2,9,9,0,663.4785492
"405",193962711,2,95.50322151,35.50322151,60,4929.101903
"406",194125531,1,96,96,0,1379.098723
"407",194259344,2,55,55,0,1263.335225
"408",194529309,1,142.25,142.25,0,1710.68257
"409",196191125,2,53,49.75,3.25,2229.746961
"410",196326100,1,34.412003515,0,34.412003515,3753.674571
"411",196873599,2,163,50,113,678.552898
"412",197341553,2,247.432653905,0,247.432653905,4002.86329
"413",197574351,2,55.83333397,0,55.83333397,1659.001548
"414",197624930,2,88.5,88.5,0,1950.39357
"415",198266288,1,142.7646913165,122.5912781,20.1734132165,1968.33326
"416",198521360,1,0,0,0,1553.708698
"417",198565710,2,92,0,92,3837.170762
"418",198978428,1,200.44214155,0,200.44214155,4195.947397
"419",199427623,1,50,50,0,1101.422869
"420",200099009,1,222.498778357,130.855921757,91.6428566,1630.270953
"421",200405410,2,0,0,0,1301.414801
"422",200470846,1,185.5,90,95.5,4506.86505
"423",200518958,2,55,55,0,1074.867585
"424",200701274,1,271.288578035,185.625,85.663578035,1132.040523
"425",200865958,2,75,75,0,719.020581
"426",201252982,2,80.07499981,35.07499981,45,2463.138248
"427",201645450,2,175.225232139,0,175.225232139,2131.873346
"428",201735634,2,172,172,0,1523.358219
"429",201853335,1,236.5,100,136.5,2363.169329
"430",202461589,2,279.07989311,157.07989311,122,1120.951633
"431",203600506,2,300.30714035,55,245.30714035,1959.627362
"432",203859407,2,115.5771517755,110.5,5.0771517755,6226.204301
"433",204710796,1,274.5,0,274.5,1819.10629
"434",204897899,2,0,0,0,1690.231525
"435",205954759,1,422.55000305,336.55000305,86,983.3611862
"436",206226161,1,100,100,0,1763.292198
"437",206690218,2,50,50,0,570.4498175
"438",207817683,2,32.5,0,32.5,2085.537673
"439",209599500,2,158.52500155,73.52500155,85,4372.157316
"440",210044762,2,101.04558563,44.54558563,56.5,1128.789178
"441",210715690,1,0,0,0,2560.694385
"442",210878665,2,134,63.5,70.5,3382.122233
"443",211055947,2,12,12,0,2984.892122
"444",211258671,2,25.022598265,25.022598265,0,2073.581013
"445",212447349,2,186,115.5,70.5,2955.515288
"446",212623817,2,68.5,0,68.5,1754.580261
"447",212809747,1,147.809021,0,147.809021,4554.898328
"448",213833214,1,228.272651197,102.897651197,125.375,933.0306505
"449",214089518,1,6.5,6.5,0,2402.732303
"450",214205948,1,210.5,109.75,100.75,3282.477
"451",214380067,1,28.062200545,28.062200545,0,2767.777802
"452",214959730,1,21,0,21,1690.650016
"453",215304731,2,120.963155745,120.963155745,0,748.1433214
"454",215395555,1,40.24500084,40.24500084,0,3516.083916
"455",215461022,1,154.75,49,105.75,1970.432416
"456",215474763,2,72.5,72.5,0,2757.407957
"457",216418218,2,120.98752642,96.05870104,24.92882538,2333.554481
"458",216446847,2,20.5,20.5,0,2438.77782
"459",216706601,1,234.375,234.375,0,1447.172968
"460",217248116,1,46.629532815,26.5,20.129532815,5037.039099
"461",217305790,2,149.5,16.5,133,2367.086226
"462",217634170,1,73.21094894,0,73.21094894,1525.912717
"463",218156203,2,118,118,0,1565.704948
"464",218164723,1,14,0,14,1316.745467
"465",218273665,2,86,86,0,1317.886371
"466",220984507,1,218.388896689,77.2598183135,141.1290783755,2183.555735
"467",221408972,2,97,97,0,1318.594491
"468",221449722,2,32.75215006,26,6.75215006,1023.925689
"469",221628584,1,0,0,0,5504.765245
"470",221648176,2,70,70,0,862.9185372
"471",221658467,2,30.625,30.625,0,593.792481
"472",222147821,1,301.627609275,112.979335785,188.64827349,1809.890059
"473",222186660,2,53,53,0,1758.720248
"474",222722367,1,110.992642405,0,110.992642405,1793.353499
"475",223943282,1,122,122,0,1176.367931
"476",224371212,2,164.5,164.5,0,792.2964239
"477",225023400,2,23.152026175,15.152026175,8,1245.878092
"478",225179889,2,166.5,17,149.5,2048.619169
"479",225419827,1,115,115,0,773.2902184
"480",225485320,1,280.095539573,98.305437093,181.79010248,8700.784244
"481",225785626,2,122.5,79.5,43,1515.555281
"482",226019407,1,115,115,0,1378.352667
"483",227240400,2,11.64614773,0,11.64614773,1950.497319
"484",229080044,2,70.0552845,0,70.0552845,1660.710269
"485",229771413,2,0,0,0,1936.458148
"486",230754908,2,0,0,0,1907.136839
"487",232219990,2,50,50,0,606.2755268
"488",232879624,2,0,0,0,2907.428284
"489",233316348,1,7.5,7.5,0,2133.63329
"490",233551162,2,86,86,0,2081.164095
"491",234131874,1,88.25,88.25,0,1010.603483
"492",235028395,2,45,45,0,2728.519731
"493",235275170,2,142.5,142.5,0,2687.383908
"494",235793555,2,0,0,0,13140.89611
"495",235882299,1,113.76000215,113.76000215,0,1671.993179
"496",236535817,1,168.2561722,0,168.2561722,2388.067952
"497",237096549,1,181.5,181.5,0,1426.659518
"498",237252802,2,154.5,154.5,0,1997.490581
"499",237375437,2,308.870821,0,308.870821,1199.352248
"500",238854961,2,50.352697375,34.21670151,16.135995865,1104.262319
"501",240959418,1,98.38619425,27.05506325,71.331131,1713.267328
"502",242473563,2,48.5,0,48.5,932.770614
"503",243053604,2,90,0,90,911.6119296
"504",245626146,1,102.5,0,102.5,2252.410294
"505",246612580,1,130.364959715,60,70.364959715,3249.039685
"506",246839670,1,60,60,0,5505.997484
"507",248597907,1,0,0,0,1378.352667
"508",248895421,1,266.63041685,266.63041685,0,1687.213315
"509",249168489,2,82.75950527,42.75950527,40,1913.573652
"510",249381111,1,134.439998625,134.439998625,0,10601.32009
"511",249514020,1,0,0,0,1818.128156
"512",249936790,1,90.972644805,90.972644805,0,3431.080862
"513",250323964,1,229.625,152.5,77.125,2590.714077
"514",250634680,2,88.644000055,0,88.644000055,5640.523681
"515",251478041,2,84,84,0,1984.288122
"516",252700161,2,89.844673155,49.844673155,40,914.4774649
"517",254016970,2,13.254237175,0,13.254237175,8255.660597
"518",254195475,1,133.77499771,47.77499771,86,2008.096531
"519",254335511,1,0,0,0,1033.518465
"520",254508630,1,21.4692955,0,21.4692955,784.4054092
"521",254948854,2,44.511125565,44.511125565,0,843.0501675
